,N,ratio,phi,err,var,abs_deriv
0,6.0,0.25,0.001,0.22252226115038046,6.267501477954361e-08,0.0011250550105232127
1,6.0,0.25,0.0011721022975334804,0.7998335018338818,1.1129197081371682e-06,0.0013189621277980574
2,6.0,0.25,0.0013738237958832624,0.8567727666766127,1.7539925878547701e-06,0.0015457819198600835
3,6.0,0.25,0.0016102620275609393,1.0250626757667534,3.4500630598566656e-06,0.0018120204559945736
4,6.0,0.25,0.0018873918221350976,0.7978685554661918,2.8731299804837037e-06,0.002124448890482997
5,6.0,0.25,0.00221221629107045,0.6977780060623808,3.0167264111116496e-06,0.0024891478089973406
6,6.0,0.25,0.002592943797404667,0.709912139028462,4.288523814748139e-06,0.002917086522025743
7,6.0,0.25,0.0030391953823131978,0.6203650515111512,4.4993163794854715e-06,0.0034192113198061817
8,6.0,0.25,0.003562247890262444,0.5918680628943281,5.624458109921502e-06,0.0040069639681486035
9,6.0,0.25,0.0041753189365604,0.6300469900334553,8.756407691974404e-06,0.004696669990919426
10,6.0,0.25,0.004893900918477494,0.6609864235474703,1.3242309108554899e-05,0.005505405612690558
11,6.0,0.25,0.005736152510448681,0.6653816096789616,1.843277110296846e-05,0.006452448125262256
12,6.0,0.25,0.006723357536499335,0.6707665205832487,2.5743710041051878e-05,0.007564220665353028
13,6.0,0.25,0.007880462815669913,0.6603454755890239,3.4272422699481754e-05,0.008865458398423787
14,6.0,0.25,0.009236708571873866,0.6665897297822845,4.797374254070252e-05,0.010390661140873274
15,6.0,0.25,0.010826367338740546,0.6701852770168283,6.662880349472295e-05,0.01217968690690914
16,6.0,0.25,0.01268961003167922,0.6615646885697005,8.917933191961035e-05,0.014274463381917976
17,6.0,0.25,0.01487352107293511,0.6710122397381078,0.00012607085250953117,0.016733119119807828
18,6.0,0.25,0.017433288221999882,0.6628787841539038,0.0001689806692621721,0.019610307041903398
19,6.0,0.25,0.020433597178569417,0.6630160842131675,0.00023222390679346423,0.022984200387581134
20,6.0,0.25,0.02395026619987486,0.6646990296432017,0.0003206979894316325,0.02694158076377697
21,6.0,0.25,0.02807216203941177,0.666607670132972,0.0004430905623853366,0.03157736909942663
22,6.0,0.25,0.03290344562312668,0.6659488584417953,0.0006074031163557044,0.0370081715935731
23,6.0,0.25,0.03856620421163472,0.6671407033169271,0.000837460651266372,0.04337752480479541
24,6.0,0.25,0.04520353656360243,0.6671015362993394,0.001150208294879215,0.050838918922530944
25,6.0,0.25,0.05298316906283707,0.6670879737793067,0.0015796665156675679,0.05957987599104695
26,6.0,0.25,0.06210169418915616,0.6670673681647099,0.0021691999820501362,0.06982004106044042
27,6.0,0.25,0.0727895384398315,0.6673174214184716,0.002980913290008114,0.08181674710093972
28,6.0,0.25,0.08531678524172806,0.6673281241341672,0.0040926484485603815,0.09586559944394124
29,6.0,0.25,0.1,0.6675634483887422,0.005621428450914825,0.1123131982030863
30,6.0,4.0,0.001,0.2249296002791811,0.34020536905588566,2.593128092916789
31,6.0,4.0,0.0011721022975334804,0.22492500809725324,0.4672202257085559,3.0389466271378707
32,6.0,4.0,0.0013738237958832624,0.22493135086757973,0.6415807341142954,3.561030271880809
33,6.0,4.0,0.0016102620275609393,0.22494507183267312,0.8808182104408994,4.172214801703652
34,6.0,4.0,0.0018873918221350976,0.22497450407587063,1.2089831963996676,4.8873881239298544
35,6.0,4.0,0.00221221629107045,0.22502269037340572,1.658844080051948,5.723694834858386
36,6.0,4.0,0.002592943797404667,0.22509310285337855,2.2750409094166892,6.700888899118976
37,6.0,4.0,0.0030391953823131978,0.22519565706446648,3.1181102754413352,7.841257652707382
38,6.0,4.0,0.003562247890262444,0.22534104836894053,4.269839429931892,9.169918192524067
39,6.0,4.0,0.0041753189365604,0.2255444152726356,5.83993057255164,10.71449642020085
40,6.0,4.0,0.004893900918477494,0.22582683995763803,7.974225749407403,12.504568379333453
41,6.0,4.0,0.005736152510448681,0.22621722747916484,10.864022573391575,14.570338930156367
42,6.0,4.0,0.006723357536499335,0.22675522436380022,14.755705777070643,16.940362198009836
43,6.0,4.0,0.007880462815669913,0.22749491132110605,19.95813623893638,19.637595260551286
44,6.0,4.0,0.009236708571873866,0.2285102596051197,26.843081136653055,22.67307780455038
45,6.0,4.0,0.010826367338740546,0.2299015663528769,35.83061246653598,26.036654833397098
46,6.0,4.0,0.01268961003167922,0.2318048459269312,47.346456633685335,29.683918494198714
47,6.0,4.0,0.01487352107293511,0.23440281251271422,61.73493460013875,33.5198971872911
48,6.0,4.0,0.017433288221999882,0.2379396907016928,79.11319213993345,37.381572058013795
49,6.0,4.0,0.020433597178569417,0.24273793092913093,99.17043820364201,41.02546104683944
50,6.0,4.0,0.02395026619987486,0.24921669356403622,120.96028264299362,44.131050613563296
51,6.0,4.0,0.02807216203941177,0.2579074461337978,142.806538588952,46.33510647545632
52,6.0,4.0,0.03290344562312668,0.26945630912796936,162.50006649813338,47.30841683947749
53,6.0,4.0,0.03856620421163472,0.2845870022159173,177.9136910224461,46.869424824010984
54,6.0,4.0,0.04520353656360243,0.3039678396622576,187.9173321837473,45.09784423078041
55,6.0,4.0,0.05298316906283707,0.32788222483499724,193.13615004035515,42.38516827111648
56,6.0,4.0,0.06210169418915616,0.35561944295305553,196.00449224893273,39.36837738759613
57,6.0,4.0,0.0727895384398315,0.38481159088384426,199.97679152686243,36.748672315218435
58,6.0,4.0,0.08531678524172806,0.4117076623439747,208.34073173055896,35.05888846781714
59,6.0,4.0,0.1,0.43351866895199553,223.21009119653226,34.46268479446134
