,N,ratio,deltavarphi,mean_FI_rate,std_FI_rate
0,6.0,4.0,0.001,22.70136418755585,0.17843494408512445
1,6.0,4.0,0.002,28.691470541161337,0.1241780885765737
2,6.0,4.0,0.005,30.381124548344737,0.06322003692792968
3,6.0,4.0,0.01,31.62449928686557,0.05942571549505406
4,6.0,4.0,0.02,26.392586928474493,0.03852701848115198
5,6.0,4.0,0.05,20.80708902123803,0.02968915239327854
6,6.0,4.0,0.1,39.414362276099546,0.046339718350912114
7,6.0,4.0,0.2,134.11588629144063,0.09025687179135458
