,N,ratio,deltavarphi,mean_FI_rate,std_FI_rate
0,6,4.0,0.001,49.54338991766377,2.6522248602542846
1,6,4.0,0.0016681005372000592,45.612139001681655,1.5534970708096691
2,6,4.0,0.0027825594022071257,50.185727928157135,1.7600289263840312
3,6,4.0,0.004641588833612777,48.718238968910256,1.51541626332823
4,6,4.0,0.007742636826811269,46.97298651029114,1.4903809616790153
5,6,4.0,0.01291549665014884,43.86917903209544,1.4450228870775734
6,6,4.0,0.021544346900318832,40.73108685174819,1.3324795386326678
7,6,4.0,0.03593813663804628,37.05123395407896,1.1754921139866366
8,6,4.0,0.05994842503189409,41.26646848285949,1.3169868218649967
9,6,4.0,0.1,100.11371501816967,2.2136238615031605
