,NS,ratio,deltavarphi,mean_FI_rate,std_FI_rate
0,6,0.1,0.001,0.29509319460296773,0.2509688395986261
1,6,0.1,0.0016681005372000592,0.3046459077458208,0.15190016102435477
2,6,0.1,0.0027825594022071257,0.2992869094938746,0.08849961182355999
3,6,0.1,0.004641588833612777,0.3210056800942376,0.05244253812386161
4,6,0.1,0.007742636826811269,0.37956852301184585,0.03884704685108076
5,6,0.1,0.01291549665014884,0.37970463176088476,0.029307724238687067
6,6,0.1,0.021544346900318832,0.3804712429854021,0.022096149680375186
7,6,0.1,0.03593813663804628,0.366398886568132,0.018628500653291274
8,6,0.1,0.05994842503189409,0.3542717595285612,0.017558649628583688
9,6,0.1,0.1,0.36851316827305,0.0163279196302073
10,6,0.25,0.001,1.6179646130375087,0.5811078928938853
11,6,0.25,0.0016681005372000592,1.858361582272749,0.3560446424612782
12,6,0.25,0.0027825594022071257,1.6908504082114402,0.21409347754892238
13,6,0.25,0.004641588833612777,2.331422008407735,0.17936982722072517
14,6,0.25,0.007742636826811269,2.3290098069543497,0.141407182520626
15,6,0.25,0.01291549665014884,2.3660134733235463,0.12130008957906292
16,6,0.25,0.021544346900318832,2.217814810217096,0.10741806153152918
17,6,0.25,0.03593813663804628,2.1790048385648118,0.0974012041080294
18,6,0.25,0.05994842503189409,2.2306793657358557,0.10174407493741323
19,6,0.25,0.1,2.254383898543741,0.10518039959415455
20,6,0.75,0.001,16.002676534590787,2.0422823615789913
21,6,0.75,0.0016681005372000592,15.251683467528332,1.3241578820004296
22,6,0.75,0.0027825594022071257,13.474420023644441,0.7207315965662993
23,6,0.75,0.004641588833612777,15.691494565744883,0.7936205251754141
24,6,0.75,0.007742636826811269,15.728652856379117,0.7126731247298511
25,6,0.75,0.01291549665014884,17.001674594194494,0.8351933618573195
26,6,0.75,0.021544346900318832,15.86710152541358,0.6812980666240497
27,6,0.75,0.03593813663804628,13.69381085494974,0.6051655173512334
28,6,0.75,0.05994842503189409,14.754516305401863,0.659787349446204
29,6,0.75,0.1,15.005725237203814,0.643745622046236
30,6,4.0,0.001,48.91149324965951,3.85240251911947
31,6,4.0,0.0016681005372000592,48.31897182533373,2.9239278860340177
32,6,4.0,0.0027825594022071257,50.3890757196536,2.403012918419911
33,6,4.0,0.004641588833612777,46.873031116762085,2.1058474559063742
34,6,4.0,0.007742636826811269,47.16411571620515,2.101034513895059
35,6,4.0,0.01291549665014884,44.22206000151009,1.8398057524727902
36,6,4.0,0.021544346900318832,45.19317566880152,2.037127720924368
37,6,4.0,0.03593813663804628,34.30852343272757,1.5340468248123893
38,6,4.0,0.05994842503189409,34.01857595065292,1.4717644423239864
39,6,4.0,0.1,30.41995639169711,1.3055588808753271
