,N,ratio,deltavarphi,mean_FI_rate,std_FI_rate
0,6,4.0,0.001,46.66933913614563,0.8320646626911101
1,6,4.0,0.0012742749857031334,47.94861189007805,0.6693251532572088
2,6,4.0,0.0016237767391887226,48.662604043060234,0.551705894650956
3,6,4.0,0.00206913808111479,48.56063673551925,0.45403479172831407
4,6,4.0,0.0026366508987303583,48.124465914248056,0.3709339523669884
5,6,4.0,0.003359818286283781,48.22508186935113,0.31683091134890645
6,6,4.0,0.004281332398719396,47.99205001523364,0.27879391125492625
7,6,4.0,0.00545559478116852,48.03129716471443,0.25652533391153126
8,6,4.0,0.0069519279617756054,47.43425807260345,0.23512610613678336
9,6,4.0,0.008858667904100823,46.655033939919555,0.2237282026579064
10,6,4.0,0.011288378916846888,45.918917027696565,0.2136211407901773
11,6,4.0,0.01438449888287663,44.55995456445899,0.20170886477301211
12,6,4.0,0.018329807108324356,42.87280297198282,0.1914633898074831
13,6,4.0,0.023357214690901226,40.78550338434013,0.18198035357357845
14,6,4.0,0.029763514416313176,38.33642368195011,0.17118999216179692
15,6,4.0,0.0379269019073225,35.59506983341427,0.15826926018469137
16,6,4.0,0.04832930238571752,33.14701525806531,0.14767357923964194
17,6,4.0,0.06158482110660264,32.02254891957988,0.1432039768028557
18,6,4.0,0.07847599703514611,32.803876157628444,0.14635842566969737
19,6,4.0,0.1,36.594781143452714,0.15960151913004617
