#w/w_c	av_FI_rate	std	
0.2	17.836708427629286 0.8114267232930268
0.6	144.39120537509908 6.5371920147282285	
1.0	471.6105850724681 23.77614334692206
1.4	330.5268990959393 16.042238250601685
1.8	157.7232582865281 7.333417663760211
2.2	130.64908941154107 5.779022120730035
2.6	131.1863522966544 6.0942590007305055

