,N,ratio,deltavarphi,mean_FI_rate,std_FI_rate
0,6,0.25,0.001,2.518678449409515,0.19064908755930632
1,6,0.25,0.0012742749857031334,2.2720613843321322,0.14181290802280674
2,6,0.25,0.0016237767391887226,2.29564050900651,0.11348780339280852
3,6,0.25,0.00206913808111479,2.351439335081942,0.09123417708131458
4,6,0.25,0.0026366508987303583,2.3647106842401096,0.07009690674211871
5,6,0.25,0.003359818286283781,2.473905856257477,0.05807537986760466
6,6,0.25,0.004281332398719396,2.3088733758574023,0.044206208618361074
7,6,0.25,0.00545559478116852,2.42939530647446,0.0361588041816875
8,6,0.25,0.0069519279617756054,2.3306015133677302,0.028523197790311743
9,6,0.25,0.008858667904100823,2.3889274282706707,0.023591432586527
10,6,0.25,0.011288378916846888,2.3851746330789743,0.019794237262965555
11,6,0.25,0.01438449888287663,2.371423254609276,0.016987292890574813
12,6,0.25,0.018329807108324356,2.3755150362688497,0.014969375460552607
13,6,0.25,0.023357214690901226,2.380226506742997,0.013372891756341418
14,6,0.25,0.029763514416313176,2.366511053461297,0.01251869788097293
15,6,0.25,0.0379269019073225,2.383425756803537,0.012045891256842188
16,6,0.25,0.04832930238571752,2.3763021170554928,0.011572718185119374
17,6,0.25,0.06158482110660264,2.387608415556573,0.01130830545110662
18,6,0.25,0.07847599703514611,2.404396962440914,0.011344124044939223
19,6,0.25,0.1,2.41208484143292,0.011259472853491617
