,N,ratio,deltavarphi,mean_FI_rate,std_FI_rate
0,6,0.25,0.001,2.1574081325860917,0.41784760763012335
1,6,0.25,0.0016681005372000592,1.8849472250611128,0.22281022546334806
2,6,0.25,0.0027825594022071257,2.597429684766271,0.21622741587201558
3,6,0.25,0.004641588833612777,2.4985760411942715,0.13274373466210937
4,6,0.25,0.007742636826811269,2.369792988087664,0.0912668975890917
5,6,0.25,0.01291549665014884,2.4046305143303113,0.08830599396870845
6,6,0.25,0.021544346900318832,2.3897105483716277,0.07718583521061727
7,6,0.25,0.03593813663804628,2.383833385274089,0.07697295128941442
8,6,0.25,0.05994842503189409,2.4876394533849178,0.07997318357451277
9,6,0.25,0.1,2.652740679508948,0.08456971242324902
